User Address,Current USDT Balance,2023-10-18 USDT Balance,Exact Yield Earned,Yield %,Years Inactive,Historical Date
0x4edced6288497c6b477cb73c657c2dc069290063,150.545733,133.240750,17.304983,12.98,2.0,2023-10-06
0x762af0ad3224e027a2ae12139ab9b9b135dbbe5c,136.049608,120.311522,15.738086,13.08,2.4,2023-06-09
0x606ce8d5cd6bdda4d2c11e90b08b6db78e79e9a3,134.800597,119.583476,15.217121,12.72,2.2,2023-07-26
0xa47ce588699cdde898911404e6d3e4a0d37bd9d5,113.646928,99.999999,13.646929,13.64,2.6,2023-03-23
0x9296a2d5d85e66d608ff5e12e8b9815bf472d98d,113.541379,99.999999,13.541380,13.54,2.5,2023-04-08
0xc509c54ab2c3aedc48481a70c3a7c4a57b26e6fa,61.465740,54.573839,6.891901,12.62,2.2,2023-07-31
0xab07f4a1431d42471636977812c7c9889cc9b000,57.360957,50.500000,6.860957,13.58,2.5,2023-04-01
0xe806e931032e28ac15b0b17a783513334ec02381,49.905197,44.426719,5.478478,12.33,2.1,2023-08-24
0x28884644e258abb83c0482de51bb43eed4efe456,44.242787,38.999999,5.242788,13.44,2.5,2023-04-21
0x11237524b62dd6ca745c86c9444620b4e571b534,44.082237,39.420056,4.662181,11.82,2.0,2023-10-10
0xfc78700591ac71c96102a4f9bd8fc97d663355cc,38.814490,34.431156,4.383334,12.73,2.2,2023-07-25
0xbafa0473d874776a59c2542556c2022035eaf3ba,34.078157,30.000000,4.078157,13.59,2.6,2023-03-31
0x4a1fc965dedffff8510db40c7366a5e649271b3e,22.454745,19.999999,2.454746,12.27,2.1,2023-08-30
0x5d83fd823393510b330934b7e121b88642a8d91b,22.298539,19.939999,2.358540,11.82,2.0,2023-10-10
0x11d1aa86da3627d461ba9c551c2113f039b9be64,19.286151,17.210000,2.076151,12.06,2.1,2023-09-19
0xb044d6faf0c6ad045773fca890e69af5de22c1f5,19.211775,17.000000,2.211775,13.01,2.2,2023-08-06
0x3b431ae63f705b23b9f6bb0ed4dea566383dbf60,19.074846,16.999999,2.074847,12.20,2.1,2023-09-06
0xc2077a8696f34a4d1c102d76212885fe2920b9eb,14.699744,13.026930,1.672814,12.84,2.3,2023-07-13
0x7cedaeb6b6c5d3ef4d72251567d8df3e81f656cf,13.502694,12.000000,1.502694,12.52,2.2,2023-08-04
0x784815d2b3be012efad557de9d2dabb0c4d0cdd2,12.413526,10.999999,1.413527,12.85,2.3,2023-07-12
0x0f904f0008ffdb6920cb77d73e0df6f516f86746,12.357527,10.895755,1.461772,13.41,2.5,2023-04-25
0x965f91a6f57cffc596067392a0eed7ec8f781021,11.285401,9.999750,1.285651,12.85,2.3,2023-07-11
0x1b7eb8ce47e4012a549d4781ba99b612f0820f64,11.279361,9.999999,1.279362,12.79,2.3,2023-07-17
0x7b80e72ea8e86a137b440ad7004294d6faf3363a,11.238758,10.000000,1.238758,12.38,2.2,2023-08-18
0xee6af78ed834f534e3761a9c8ec117ac87028f86,11.188681,9.999999,1.188682,11.88,2.0,2023-10-05
0x2e8d98718fbda571521367f045bb16f6cc7266c4,10.845130,9.597244,1.247886,13.00,2.3,2023-06-22
0x0b4af09a0c24c2a8fcea6b2df63490e947b422a1,10.086744,8.999999,1.086745,12.07,2.1,2023-09-18
0x3045142af4e8eea436abdb88008cc1c372285c24,6.941868,6.188701,0.753167,12.17,2.1,2023-09-10
0x33b92e2a09ac115769d9a2b5eca2d565f0008301,6.597943,5.891752,0.706191,11.98,2.1,2023-09-28
0xda35b1d7a3d2d29b7006b3f9c50e2c885ab2c4f2,5.820850,5.116473,0.704377,13.76,2.6,2023-03-13
0xc05ed8f3adbc1007d9d8debc21a721aa951fad50,5.684941,4.999999,0.684942,13.69,2.6,2023-03-17
0xa3b76c69501e6a67b7fc24d30c8a4025a87e9a46,5.681291,4.999999,0.681292,13.62,2.6,2023-03-26
0x1ba66b2737366570b7e61743a42eec130093d081,5.638732,5.000000,0.638732,12.77,2.2,2023-07-19
0x0103c45a16adce9438168c78206597a1c2fb9e76,5.629856,5.000014,0.629842,12.59,2.2,2023-08-01
0x00d283ffcb70f7b9a1d844e54a1ade61e5443b6c,5.603276,4.999999,0.603277,12.06,2.1,2023-09-19
0x5ef17175f961a270bd6ea22db0f04d722bb3519e,4.837177,4.300000,0.537177,12.49,2.2,2023-08-07
0xc2979e688c5f668ef655443cb68dcf4ff0ac240b,3.615146,3.180822,0.434324,13.65,2.6,2023-03-22
0x33d66eed6d4501ab3210913a777876208e00aa6a,3.356555,2.999999,0.356556,11.88,2.0,2023-10-05
0x209b2346598a7f7f0a8068aec2b76385ed98dab8,2.285991,2.000000,0.285991,14.29,2.7,2023-02-14
0x0d8c44854055f4becdfee63d2f6286548ace0c34,2.283991,1.999999,0.283992,14.19,2.6,2023-02-27
0x46031cb4163d71c4ed51056bba7146689e2b9aef,2.253996,1.999999,0.253997,12.69,2.2,2023-07-29
0x0c7f54ec909f963ccc068e03f1993753c97ebd1c,2.236968,1.999999,0.236969,11.84,2.0,2023-10-08
0x7d35eb3bee3e349d77715b709fc90fa6319f3f37,2.236729,2.000256,0.236473,11.82,2.0,2023-10-10
0x7211a224817e0dfd38c7f0a56480e767bc3e313d,2.207413,1.936099,0.271314,14.01,2.6,2023-03-11
0xd4c0c627684003d72639b856bb62a937293e5c87,1.790101,1.568292,0.221809,14.14,2.6,2023-03-05
0x78a4c006ac85ccf41d71b804c2a6e00a3793cb77,1.713247,1.499999,0.213248,14.21,2.6,2023-02-24
0xdcb48e5f80ad4126b5ed8dc3aaa62f2b71ba4ab0,1.528473,1.359999,0.168474,12.38,2.2,2023-08-18
0x3d75b3f53903b8e528b95e0b21deddb31df37305,1.358453,1.199999,0.158454,13.20,2.4,2023-05-23
0x74679b9a8a8caf5af085044ab584c43f7df95cb0,1.250367,1.099999,0.150368,13.66,2.6,2023-03-20
0x75e617ace2e1025b2651d9902df9c94df4457a2a,1.199015,1.049999,0.149016,14.19,2.6,2023-02-28
0x758259c6cd83a2ac9a5b4a37d91dc6b615e797a2,1.191508,1.048667,0.142841,13.62,2.6,2023-03-27
0x379f29c017ec33e145d1fe721971cc1b50a31253,1.142993,0.999999,0.142994,14.29,2.7,2023-02-14
0x23143909394581265d9866befbbd520645925792,1.142665,1.000000,0.142665,14.26,2.7,2023-02-18
0x2e339c5a9119262916e34333d0334224fed09d0f,1.142530,1.000000,0.142530,14.25,2.7,2023-02-19
0x920c0ab1dcef3c5a22d7fa4b3099b922e93efe9e,1.142307,0.999999,0.142308,14.23,2.7,2023-02-21
0x62d51fa08b15411d9429133ae5f224abf3867729,1.141868,1.000000,0.141868,14.18,2.6,2023-03-01
0x2ba0cf3a45d78fb39cd2a75516c3338d5f36dd37,1.141565,0.999999,0.141566,14.15,2.6,2023-03-03
0xa95813b5ec6f94560937193e3d15fb3929813f5e,1.141365,0.999999,0.141366,14.13,2.6,2023-03-06
0xc99f1e62bfc443578789319da696d5776202a781,1.141205,0.999999,0.141206,14.12,2.6,2023-03-08
0xe71da9853ea796706b21630e1c36a310e9ac5a5b,1.137047,0.999999,0.137048,13.70,2.6,2023-03-16
0xaea9c915e2e1501d00c59668c94c4b5936ce400c,1.136777,0.999999,0.136778,13.67,2.6,2023-03-19
0x780701198a234052292f1f7c03aa4787be39e740,1.136620,1.000000,0.136620,13.66,2.6,2023-03-21
0x1fdcc0979f811965f9d1b8e3d7cc8eac13615a84,1.136340,1.000000,0.136340,13.63,2.6,2023-03-25
0x21fef57ecc05c37325677d2bdff2c8022083400e,1.135855,1.000000,0.135855,13.58,2.5,2023-04-01
0x723aadf9329a770c8a77f205eaacc879b6e83f55,1.135096,0.999999,0.135097,13.50,2.5,2023-04-12
0x355784934ef5616e6025c8dbdf84d6943217177f,1.134833,1.000000,0.134833,13.48,2.5,2023-04-15
0xa26ae55d6da6d82ab9e79f910820c2555a50d4ad,1.132253,0.999999,0.132254,13.22,2.4,2023-05-20
0x6b052bb4f5e54dee68cf96530d67c9b54283ace8,1.132061,1.000000,0.132061,13.20,2.4,2023-05-22
0x78eadf900c1a2d157edf4f34737f3caed5d5dec4,1.131045,1.000000,0.131045,13.10,2.4,2023-06-06
0xb0ba26dedc9c1ddae319de606c3b1279e26be57e,1.130247,1.000000,0.130247,13.02,2.3,2023-06-18
0xe66e1e9e37e4e148b21eb22001431818e980d060,1.130184,0.999999,0.130185,13.01,2.3,2023-06-19
0x4740f1136283fee975028dbcec0ed8154f48f3ab,1.129691,1.000099,0.129592,12.95,2.3,2023-06-26
0x9ea568f0a42c7a98f0e6ac4b2b11f503d8daafec,1.128588,0.999999,0.128589,12.85,2.3,2023-07-11
0xe23ced331d2cf8d19734b99ba1901756de8b39af,1.128462,1.000387,0.128075,12.80,2.3,2023-07-16
0x0817e382a40d484a8b90c792b399667174e50ab8,1.128291,1.000000,0.128291,12.82,2.3,2023-07-14
0xfcd218cc65bca1dfe5fee91e8a2182d5643b094c,1.127150,1.000000,0.127150,12.71,2.2,2023-07-27
0x7af9edd3d28ac962d99b44b7d61a6c0714df3f1f,1.123678,1.000000,0.123678,12.36,2.2,2023-08-20
0x66af615eb4d8ea2e0101e4187431bf5670f1a860,1.122274,0.999999,0.122275,12.22,2.1,2023-09-04
0xa0eff44b01007e8c212411f53ab171b38b63aea8,1.120482,0.999999,0.120483,12.04,2.1,2023-09-20
0xee45528c53a65db1cd31da6e3cb483df265fbd9c,1.119684,0.999999,0.119685,11.96,2.0,2023-09-30
0x48485f7480cd4e9599723a8054011d73f36859fe,1.118900,0.999999,0.118901,11.89,2.0,2023-10-05
0x08d6c96e4d52f4c32f60ed2d9ea6fb8a344a5d91,1.118043,0.999233,0.118810,11.89,2.0,2023-10-05
0x184abefbdca24ce0dd964a74f6d5e69ce44d9579,1.058972,0.940500,0.118472,12.59,2.2,2023-08-01
0xbe41d6fa45aa3f22c30ffb589f99c30022573a6b,0.830344,0.737313,0.093031,12.61,2.2,2023-07-31
0x71add64adbb965bafd01437295968502eb61145e,0.568113,0.500000,0.068113,13.62,2.6,2023-03-27
0x942a099a6791359370751904a70c4e3fb0562bdd,0.566096,0.499999,0.066097,13.21,2.4,2023-05-21
0x2225e8a95fbf7cd32b9b9ac3d87fa88c6957cb6f,0.565205,0.499999,0.065206,13.04,2.3,2023-06-14
0x4b8afbef4e4447b7b094290dac19279bd59c582a,0.559896,0.499999,0.059897,11.97,2.1,2023-09-29
0xcf404e95bd25a2473ea55d4b88a13e34f32d020c,0.525157,0.465463,0.059694,12.82,2.3,2023-07-14
0x5b189e77b55a04af46fdc30538b3c8a3014ea3ac,0.485530,0.434470,0.051060,11.75,2.0,2023-10-16
0x9cda4188918896c41dd7277fe3d969b7a79285da,0.454360,0.399999,0.054361,13.59,2.5,2023-03-31
0x683537e4d326c5dfaaaa6ef9dd9cf85ebb04971d,0.342758,0.300000,0.042758,14.25,2.7,2023-02-19
0x92b52e6441a9e2e03d080e951249d93df222f855,0.340886,0.299999,0.040887,13.62,2.6,2023-03-26
0xc019e26b8c3bcc89c060110e079b463cf105dca9,0.340758,0.299999,0.040759,13.58,2.5,2023-04-01
0x0b0f9f02d9aef778433dea88c4bec341d6c86834,0.339294,0.299999,0.039295,13.09,2.4,2023-06-07
0x234980496c21e6d618a3b44113b61bb4b39096ff,0.337334,0.300000,0.037334,12.44,2.2,2023-08-12
0xbcf05d19c85aa177a58ece89169fd241700f7d1c,0.285632,0.250000,0.035632,14.25,2.7,2023-02-19
0xbb4d8ad59073bbbd65cbe557c6d6bbf7b1d2fc22,0.285482,0.250000,0.035482,14.19,2.6,2023-02-28
0xbb79893f1ffabc81364a1965676643f8fed01f99,0.284357,0.249999,0.034358,13.74,2.6,2023-03-14
0x5917ff74117738a19f0342d923d4e4f6eb02808e,0.274749,0.241795,0.032954,13.62,2.6,2023-03-26
0xd5d6fffe6c26b13f6384c5ad79c9cf253d4bfd9f,0.247467,0.217434,0.030033,13.81,2.6,2023-03-13
0xe76f1230c61160206306cb55e524d5843bad697a,0.236129,0.210000,0.026129,12.44,2.2,2023-08-12
0xc9bb7204aea2dadd450fff02e63bbcdec67f3dcc,0.227327,0.200000,0.027327,13.66,2.6,2023-03-21
0xdfd77a848618b3428c79790b5222b85c2adfcfe5,0.226140,0.200000,0.026140,13.07,2.4,2023-06-10
0xadc77f672ccf91c722534758564a39dd0f6a80d8,0.226032,0.199999,0.026033,13.01,2.3,2023-06-20
0x37f5e5aabc23e9891c33bf128d6d2e0557225997,0.168213,0.149999,0.018214,12.14,2.1,2023-09-13
0xc123110b44d6c5bfd7c963135041a7d80dfa107a,0.168016,0.149999,0.018017,12.01,2.1,2023-09-24
0x9023f1ed962416848bf844162903ef4624b27a4f,0.165609,0.145000,0.020609,14.21,2.6,2023-02-25
0xa00d8616eaf858394cace2a51331e70ab22d7333,0.151986,0.133700,0.018286,13.67,2.6,2023-03-19
0xaf6636d448065e6814270ace95949bdbc8fa0420,0.128906,0.115101,0.013805,11.99,2.1,2023-09-27
0x9999990bc03c67e331c92fd9275f8dbf2354c723,0.125611,0.109999,0.015612,14.19,2.6,2023-02-28
0x3421fbacd45c4df3f08ef88a77343db47f130808,0.124951,0.110000,0.014951,13.59,2.5,2023-03-31
0x806cf73a306948f0f849d56c1b835fe8eb5b26ba,0.120457,0.105465,0.014992,14.21,2.6,2023-02-25
0xb6e9b43e89278c4c812f4a20f8c531fadb636808,0.114207,0.099999,0.014208,14.20,2.6,2023-02-26
0xf4f2f6f40ec7ef6ff902208d73cbe0a15781cc3a,0.113692,0.099999,0.013693,13.69,2.6,2023-03-17
0xe8e0f659b54934273e1beca7f537fda6d6330d7b,0.113692,0.099999,0.013693,13.69,2.6,2023-03-17
0xb350456aa5835f06446875179510a85cd4a6f9a7,0.113692,0.099999,0.013693,13.69,2.6,2023-03-17
0xadee08871159d69c3c0a1358454f46ec53e9d74a,0.113692,0.099999,0.013693,13.69,2.6,2023-03-17
0xecd2d8a907cef9f1006c2987979d67a7623a4c35,0.113655,0.100000,0.013655,13.65,2.6,2023-03-22
0x2dbb7eaf854059c9fc0484b96d6f2567dc5f3e15,0.113654,0.099999,0.013655,13.65,2.6,2023-03-22
0x3be4d16e39903e13fbcecef3c2f734b779867b47,0.113628,0.100000,0.013628,13.62,2.6,2023-03-26
0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2,0.113608,0.100000,0.013608,13.60,2.6,2023-03-29
0x9bd48e08e3444b30113812acd52458b35c33803a,0.113169,0.099999,0.013170,13.17,2.4,2023-05-28
0x6c2cc8ea2b54e6a4807502f3a98a839184fea6bb,0.113133,0.099999,0.013134,13.13,2.4,2023-06-02
0xbe836bf050418a7f3cbf54284d49daca491fe3a3,0.113132,0.100000,0.013132,13.13,2.4,2023-06-02
0x0ef696b2da7e7c6a3113681ce57344b66bbcf559,0.113109,0.100000,0.013109,13.10,2.4,2023-06-05
0xaece35fb29ce6bf63a753e0682363c77976c668b,0.113090,0.100000,0.013090,13.09,2.4,2023-06-08
0x2dd3a97aee2c998ac123ff0f71773b7c5f02ca71,0.113002,0.099999,0.013003,13.00,2.3,2023-06-22
0x5dc506e8bf8cdd0ab6fab477443be1032a1a8539,0.112764,0.100000,0.012764,12.76,2.2,2023-07-21
0x5bab0333e24346b8320f84fef36e523df79a7aae,0.110624,0.098878,0.011746,11.87,2.0,2023-10-05
0x932500813ef18fd632051458e1dda9da930bf763,0.057164,0.050228,0.006936,13.80,2.6,2023-03-13
0x568161f734abf64d5654c79ebeaf2548206efd12,0.056793,0.049999,0.006794,13.58,2.5,2023-04-01
0x56ca5126bd3005be2282d40a248dc173b3ac170e,0.051292,0.045328,0.005964,13.15,2.4,2023-05-30
0x33898903c17b2b4cf37782535691baebc744e590,0.034088,0.030000,0.004088,13.62,2.6,2023-03-26
0xaee06bb17cb26800a613c8f80009e856332dd531,0.022837,0.020000,0.002837,14.18,2.6,2023-03-01
0x91bc9eefca5bdf2db609879aedc579c70a0ae901,0.022458,0.020000,0.002458,12.29,2.1,2023-08-29
0xa261f54481aa14bc16c9a061fe53af7c599ff7ed,0.017156,0.015326,0.001830,11.94,2.0,2023-10-02
0xa9781c55c4257675a72a53525f1c960d2fb41a7d,0.016083,0.014169,0.001914,13.50,2.5,2023-04-12
0x737a2059e67d660371f80e98bb505fb33435d40b,0.011421,0.010000,0.001421,14.21,2.6,2023-02-25
0x4d58d36e46cf9af14e416061fe5d0074780b4099,0.011362,0.010000,0.001362,13.62,2.6,2023-03-27
0x17d60e33385700247741d8a0c2db0d4ac28130d7,0.011362,0.009999,0.001363,13.63,2.6,2023-03-26
0x26fdc242eccc144971e558ff458a4ec21b75d4e8,0.011352,0.010000,0.001352,13.52,2.5,2023-04-11
0x921f15bb887c4636b05aa88a1faad71efe8c5942,0.011322,0.010000,0.001322,13.22,2.4,2023-05-21
0x35e3a5f9a59a441f5b87416ed68eb99753e59171,0.011312,0.010000,0.001312,13.12,2.4,2023-06-04
0xe868128cba30f79468e375dc85594cfc78d7b85d,0.009352,0.008294,0.001058,12.75,2.2,2023-07-21
0x58e2eb90a3c7c202e8a35981fd2b89db76d3cf20,0.009263,0.008110,0.001153,14.21,2.6,2023-02-25
0x4c1216a641aa3b8e592ef960b5d3fef6139ac01c,0.005353,0.004716,0.000637,13.50,2.5,2023-04-12
0xb754e12bb7748360bf47a736a043a4eaee2db24b,0.004610,0.004048,0.000562,13.88,2.6,2023-03-12
0xfcba2b176dbee8d89e7114061fbeced92fe9f5db,0.004337,0.003821,0.000516,13.50,2.5,2023-04-12
0xe85e70c36e2dd211aaed84216707330361faf860,0.004150,0.003705,0.000445,12.01,2.1,2023-09-22
0xf6262371dc53b2d8f96bfdf807a4b6e375aa69f2,0.003207,0.002826,0.000381,13.48,2.5,2023-04-12
0xc9161b701f44ee19443773691c6be975e4c2a1e2,0.003014,0.002653,0.000361,13.60,2.6,2023-03-27
0x76dd931d59ec0ee69e815028ea71faa6f205a741,0.002963,0.002612,0.000351,13.43,2.5,2023-04-27
0x95c7c8dad18277ba8e9d96ec67a447e05131eaea,0.002872,0.002513,0.000359,14.28,2.7,2023-02-16
0x7663e4e775b3cfc3bc89290f10144f203263b8f8,0.002661,0.002344,0.000317,13.52,2.5,2023-04-08
0x2f6198509f37292add1dd8d81709878f69587aab,0.002523,0.002228,0.000295,13.24,2.4,2023-05-18
0xe59e75bf95b8f55e5c7a9310db8d9526df9056de,0.001916,0.001686,0.000230,13.64,2.6,2023-03-24
0x486063e323251ec48e8d11b756d0dfb7a7b5f308,0.001696,0.001500,0.000196,13.06,2.4,2023-06-07
0x83171ac856c07bfd2c122d79156611ee6870acfc,0.001449,0.001282,0.000167,13.02,2.4,2023-06-11
0x67c162b74f096b571e361e191270cdc1ef585591,0.001355,0.001200,0.000155,12.91,2.3,2023-07-03
0x90457df24e85e174e61ec62fbab1a6ef34874d7c,0.001136,0.001000,0.000136,13.60,2.6,2023-03-26
0x6ea2e492a7128508d609de8d9e562c611e587b33,0.001130,0.001000,0.000130,13.00,2.3,2023-06-20
0x5df431ee1c819e54e1b8a1e46268556c0a7b0bae,0.001128,0.000999,0.000129,12.91,2.3,2023-07-07
0xf622be9c03d4f6833b691cea3e7c52aacb486498,0.000940,0.000836,0.000104,12.44,2.2,2023-08-07
0x3f4122a5f01b26d94f3d327f77a128ba7bfdddc8,0.000795,0.000711,0.000084,11.81,2.0,2023-10-05
0x3d60ce163c0c99657dac9275f87d15cf0aac925a,0.000529,0.000472,0.000057,12.07,2.1,2023-09-27
0x78fde30585153202002431490a5765094702c0ff,0.000469,0.000411,0.000058,14.11,2.6,2023-03-08
0x6dfbc2ead08c2f3b9674a7d0795660d59c04ac92,0.000440,0.000392,0.000048,12.24,2.1,2023-09-17
0x4b769dd6ee3b6522a6b709008edcc24dcfbec6ac,0.000256,0.000225,0.000031,13.77,2.6,2023-03-26
0x3a850b7746f4afb0d4169ff240415386eb5f0d0c,0.000189,0.000168,0.000021,12.50,2.2,2023-08-16
0xefa9ebb504c3bcaa63234d7d9d7ca2b64fa91042,0.000161,0.000142,0.000019,13.38,2.3,2023-06-26
0x25cbc581a7e6ff48cce7a00314c8b88377b39ff6,0.000139,0.000122,0.000017,13.93,2.6,2023-03-13
0x1aeeaa375b4112f537fafdea5aa3bab0e1257557,0.000114,0.000100,0.000014,14.00,2.6,2023-02-27
0xfd1bd701afb8da8b0347fd6f9af61fc899890935,0.000112,0.000099,0.000013,13.13,2.1,2023-09-17
0x3a66f923e59e969609cd24be579084e363cab0df,0.000091,0.000080,0.000011,13.75,2.6,2023-02-27
0x49b35efd4cd14bd578ae73aa85e7cceeb650acc4,0.000073,0.000065,0.000008,12.30,2.2,2023-08-23
0x0d9757937b10a403739a8e61c3b11701a0985d2d,0.000033,0.000029,0.000004,13.79,2.0,2023-10-16
0x8980dbbe60d92b53b08ff95ea1aaaabb7f665bcb,0.000029,0.000026,0.000003,11.53,2.1,2023-09-04
0xd31f1b528d39b320871be5bbd8bae20c888244f2,0.000002,0.000002,0.000000,0.00,2.0,2023-10-12
0x49d5df7773936decc72e0e305f28190bc1a13e08,0.000002,0.000002,0.000000,0.00,2.2,2023-07-25
0xea697f6adf57219cc61266aadcb9b726d49c012b,0.000001,0.000001,0.000000,0.00,2.3,2023-06-27
0xb5caae7bc6eea534db093515aacd7bfa09f071dc,0.000001,0.000001,0.000000,0.00,2.2,2023-07-20
0x9a190cc871364991445820b3812f60c54b2989b6,0.000001,0.000001,0.000000,0.00,2.7,2023-02-14
0x98b78b987b006c4f10180e1bf63174499af6d871,0.000001,0.000001,0.000000,0.00,2.1,2023-09-09
0x480a69132578c5e8fc4173d575925b013e15fd76,0.000001,0.000001,0.000000,0.00,2.6,2023-03-13
TOTALS (207 users),5982005.231087,5323966.302240,658038.928847,12.35,,
