User Address,Current USDC Balance,2024-10-17 USDC Balance,Exact Yield Earned,Yield %,Years Inactive,Last Interaction
0xfc9c46f98480acf1487e6a676b2da6e569f1f83e,517254.195529,458805.757847,58448.437682,12.73,2.0,2023-09-30
0xf0df9f924a8c2bee378dbefc063ec33ba8251b44,510075.362272,446302.227615,63773.134657,14.28,2.5,2023-05-04
0xb6a6a47f55274e3725601198e64284298e4f72f0,467539.484168,435095.090765,32444.393403,7.45,1.4,2024-06-01
0x2c75b416db1b52c5ddd9a4265630ba36457218d2,442355.635351,404782.143226,37573.492125,9.28,1.6,2024-03-15
0xe41eb459d4c199bedd246a6f70f9deb3b9966ac5,439515.808573,399999.999999,39515.808574,9.87,1.6,2024-02-27
0x3eb803339152d84e9dde022f544e62d5d39ab23c,437118.994081,395295.932869,41823.061212,10.58,1.7,2024-01-24
0xa3ccd5671e893d9c8d5c32f3b65d2ce5fcefc6d6,432731.012368,406796.369138,25934.643230,6.37,1.2,2024-07-25
0xf48e9864bdc031441b127f74dae7ab2fc13bef11,430525.264044,393292.034997,37233.229047,9.46,1.6,2024-03-11
0x1ad290a01091152938f9b1182e0d1a1346af95ca,428507.611733,400561.018537,27946.593196,6.97,1.3,2024-06-22
0x545e6caac741cd335ab7934c374864e5dcfe7896,409535.309466,359071.772715,50463.536751,14.05,2.4,2023-06-04
0x25e32be8061c3140aa8facb549d79f653b2f4729,403012.767618,369999.999999,33012.767619,8.92,1.6,2024-03-27
0x9c02a832b408e6027f05099caccb045b1453e39c,400342.795101,362593.746105,37749.048996,10.41,1.7,2024-02-04
0x376bd7f30a97737b032fa2254410e10b677308b4,369247.462757,348862.970044,20384.492713,5.84,1.1,2024-09-06
0xb07a9e1f4d7bdc650709055e677dd57c4634eedb,366449.753800,333599.999999,32849.753801,9.84,1.6,2024-02-28
0x90f127c32abd0470d3ef5d40ad85364687ee19ac,363947.738242,337869.745215,26077.993027,7.71,1.4,2024-05-20
0xb9d662f75782ac0668f058dbc10ab047f142124c,350036.841347,331113.847395,18922.993952,5.71,1.1,2024-09-18
0x003eb864477c8858bec0916e23785aca46f6ba34,349965.042585,328180.607933,21784.434652,6.63,1.3,2024-07-10
0x94558e7253ed213e3c814be536a8a505e42e045e,335169.696547,313436.117753,21733.578794,6.93,1.3,2024-06-24
0xec149a3f832323c6b0f4d0c820c6c3be946ff103,329535.959445,305723.610266,23812.349179,7.78,1.4,2024-05-16
0x8ae3b338bc4df9420268375bca5411f83ccab3ee,316324.615721,299999.999999,16324.615722,5.44,1.0,2024-10-09
0x339bdd06627bcd57d4a91722aa1b8f6fa995961e,310638.788806,294479.355176,16159.433630,5.48,1.0,2024-10-06
0x35e989497e9d638ef333e7369293f06d91583435,306854.788173,290317.525855,16537.262318,5.69,1.1,2024-09-20
0x4592c86f023955fa8c36d41f5805af212a30d10f,304642.415751,279560.424597,25081.991154,8.97,1.6,2024-03-25
0x13375c2d4dfbcec985d0fe6c628e39370bfd7875,302590.102491,270943.182802,31646.919689,11.68,1.9,2023-12-05
0x16beb34c80f4d6878aeccd6bc250a74070b9d55d,298608.951927,268924.226179,29684.725748,11.03,1.8,2024-01-03
0x48c8d9c7d0545279c9d4fe8c50a41e2290212d6c,284920.920849,264505.363679,20415.557170,7.71,1.4,2024-05-20
0x74f9ee81388c35e4658d481de191765876407ca0,281334.054388,250004.692912,31329.361476,12.53,2.0,2023-10-17
0xe3f40743cc18fd45d475fae149ce3ecc40af68c3,276058.877807,250477.582762,25581.295045,10.21,1.7,2024-02-13
0x22077d126c5e96655ce108537fe233137fbdddf9,272822.365575,258606.176945,14216.188630,5.49,1.0,2024-10-05
0xeb872202dac619cb43cab4e0be11e9b291ca4174,270373.597496,254695.451493,15678.146003,6.15,1.2,2024-08-10
0x1236e022e85d10459448c6a51aaec894446c43fc,270040.246277,250000.000000,20040.246277,8.01,1.5,2024-05-02
0x83e6bc5b26b267ec5c241e1675c2ecb3dc4eaf01,268111.793920,251663.525309,16448.268611,6.53,1.3,2024-07-16
0x5bfced618a4096ea9a528fde1cc44e446b7a99ca,266717.996848,250884.543421,15833.453427,6.31,1.2,2024-07-30
0x6e0d372c65d66212c479b4ac2ae9fa35688ad619,264354.787669,249999.999999,14354.787670,5.74,1.1,2024-09-15
0xb9630191de192d1db1435310542a3bd5ec203f1a,251987.625047,233703.140210,18284.484837,7.82,1.4,2024-05-14
0xdf5706a98e947f85e7c61fbeb741bb5c72bec15c,250805.658346,225000.000000,25805.658346,11.46,1.8,2023-12-14
0x3613e60a522cc504290300b06cd82aedc1b29689,249085.079493,232314.883138,16770.196355,7.21,1.4,2024-06-11
0x8ed68f871f6e6402008ae86b2ed0b2676c801e32,240465.750656,225501.469999,14964.280657,6.63,1.3,2024-07-10
0xdfba9c7aac843199f14b3085e141204a52a7507b,237165.596516,220171.807238,16993.789278,7.71,1.4,2024-05-20
0x853414caf1666de7e1bacb38fe6bbb12fdbda05d,233710.956774,216964.912987,16746.043787,7.71,1.4,2024-05-20
0x3a4ae89c3ddbc3fb2cc008126069cdaccd9a104a,232552.466602,203378.999999,29173.466603,14.34,2.5,2023-04-28
0x1274416911003d416568749865f7cee3ce62386b,231938.910438,219271.229557,12667.680881,5.77,1.1,2024-09-12
0xf4b1f6c6ff293111e897412017efeda5dd72e5fd,230881.639517,203144.846663,27736.792854,13.65,2.2,2023-07-21
0x91e90fcdbfd05c393b8b5f86740dce46173815fb,223943.666659,210356.993964,13586.672695,6.45,1.2,2024-07-21
0x2e3aefc287fd0f565ab9d48db8adc0dd0483d604,216698.729786,199000.000000,17698.729786,8.89,1.6,2024-03-27
0x8ec9e9d6bd4981498e1cfa1bee7ff52a7574f42e,215639.207212,200000.000000,15639.207212,7.81,1.4,2024-05-14
0xe47afc755ab0ac66d7ede9b0d4e61cdd6d28934e,212871.682298,199999.999999,12871.682299,6.43,1.2,2024-07-22
0x5161f3b374f2dd5f235015d47aa1acd6a2d23b37,212310.338101,197097.256844,15213.081257,7.71,1.4,2024-05-20
0x4c4cd7607cd298acb5a99c5d3d14629d4c8cadb7,207270.182986,195402.659533,11867.523453,6.07,1.2,2024-08-18
0x80c7d9f6db4dd1a3911e85f334d504a3d3f0161c,205634.715719,190900.055237,14734.660482,7.71,1.4,2024-05-20
0x2264620b487b705da15e1ac9d218fb5ccb2e9685,202468.481088,191772.867163,10695.613925,5.57,1.0,2024-09-29
0x84baf12339b11549c53615a1666a2448ac7aba02,194977.551333,183015.357885,11962.193448,6.53,1.3,2024-07-16
0x46a5c9ac50a0210e4bcc4920438579c87a97e8df,192999.356065,182935.306080,10064.049985,5.50,1.0,2024-10-04
0x3d41df0f4dbbfab9e73839e5dc2db0b4ba150ea9,192251.534469,182191.487965,10060.046504,5.52,1.0,2024-10-03
0x8dfd65bd8aa9f33fff7db8534857ccd142cbde3a,189881.571199,180000.015599,9881.555600,5.48,1.0,2024-10-05
0x4c954abb8b269c909d001bd5e41d6defd5058f3c,176940.303062,160523.025430,16417.277632,10.22,1.7,2024-02-13
0xe6dc7c97ca7679dde8f96ba4de2aacd6cdde0f50,176030.467302,167023.841165,9006.626137,5.39,1.0,2024-10-13
0x26c4bc9f7f6f89104d1480c93f824a7b2fdfde96,165108.330013,154611.998414,10496.331599,6.78,1.3,2024-07-01
0x8e2c3c87b6394b6f46432bbbd052f1d0df4d3943,164610.340502,152815.319989,11795.020513,7.71,1.4,2024-05-20
0x76dea463f6917024cb7aaa2b81f4df166a336028,163880.751289,150000.000000,13880.751289,9.25,1.6,2024-03-16
0x0228498ee93e8750a823d219a8f531157ccc031f,163061.915312,149032.267481,14029.647831,9.41,1.6,2024-03-12
0xac357895ec30e9a0c90cca9b8e9d12f120d94b4b,162717.936895,145072.030412,17645.906483,12.16,1.9,2023-11-09
0x7950250285654448d9a7eef7e388ddc72ce63ef4,162508.313961,149999.999999,12508.313962,8.33,1.5,2024-04-17
0xc273232d60ae668a9c20f825b10d95039ebacd32,162471.831760,150000.000000,12471.831760,8.31,1.5,2024-04-18
0x745b7d8b310c250deb2459083e0f536b03941982,158944.831261,150626.320599,8318.510662,5.52,1.0,2024-10-03
0xec86da009dd49f14db796329f57c4cd6aac7bc14,151054.746557,139437.999999,11616.746558,8.33,1.5,2024-04-17
0x48116c494a5185eafd380c86924c2ace513b9abe,143082.786327,132830.545914,10252.240413,7.71,1.4,2024-05-20
0xdb2ac7f596d047c86d9d59f69accd5fee2d08474,140808.264738,130000.000000,10808.264738,8.31,1.5,2024-04-18
0x8016b1805930b40ced618452908348c51371bc99,138606.825530,129807.353610,8799.471920,6.77,1.3,2024-07-02
0x2ae4c493e9a7f42db6cb0945753992ffcfd9153c,131944.033465,123373.534746,8570.498719,6.94,1.3,2024-06-23
0xfa27eddc9965b73ae0a595199dd27b0b132cf1a8,124002.401588,116440.000000,7562.401588,6.49,1.2,2024-07-19
0xab6bbe1fc9b0ca95bf66f0b71df12a0b0ab08be8,123637.050692,108593.259444,15043.791248,13.85,2.3,2023-07-01
0x1fbc554caff6c1b4c00a692c9849de62de97e29c,122720.704636,114574.523974,8146.180662,7.10,1.3,2024-06-16
0x5ee51b2213af66e2cb947ccfefdb4316105bfa7c,122068.624214,114592.882044,7475.742170,6.52,1.3,2024-07-17
0xeceb57f40eb532e28fc548a93243074200b4dbde,118851.845579,111386.766377,7465.079202,6.70,1.3,2024-07-06
0xa761b1424105f745f8f11f95d164ae7409e27541,117390.444204,110000.000000,7390.444204,6.71,1.3,2024-07-05
0x3255e9580e0390bb572a4b94c4592ca581c157d9,113534.056643,100728.771896,12805.284747,12.71,2.0,2023-10-02
0xf82288e4d3acdadbd40373fb079e32b2891ee8ab,112638.559828,105611.050370,7027.509458,6.65,1.3,2024-07-09
0x2a6c885bd887c9c8b7fd8976d5569406d5162a4d,109812.531201,103670.838118,6141.693083,5.92,1.1,2024-08-30
0x249b9421d1872ce1b9549a4e0570d85be22b5805,109706.230198,102617.860321,7088.369877,6.90,1.3,2024-06-25
0xb8534de9ea7177ebc6eb053d16ccf1b612bb0b74,109173.641215,100000.000000,9173.641215,9.17,1.6,2024-03-18
0x32c847d561b2a515546a68195e0b67037c070c83,108683.870085,103130.847086,5553.022999,5.38,1.0,2024-10-13
0x25788bb463a102ca5540b85f0c10a9c16592c28d,108526.284449,99999.999999,8526.284450,8.52,1.5,2024-04-10
0x9b39f671bad9208534ac93e73645f98d2dd2f57f,108237.336026,99999.999999,8237.336027,8.23,1.5,2024-04-22
0xd55ad9563d72cdfd1cb4744fb2eebce41bede682,107860.546067,96338.346575,11522.199492,11.96,1.9,2023-11-19
0xdbbc63adcd6e33b38b0dadfc743a46625ff33336,107798.364557,100071.644492,7726.720065,7.72,1.4,2024-05-20
0x8156315c24dfc4d581c4ea211d0cac0e8da636ad,107621.190406,100000.000000,7621.190406,7.62,1.4,2024-05-25
0x811d93c8fe06ba7f40c869ab39121b4ae57aee87,107601.062483,100000.160642,7600.901841,7.60,1.4,2024-05-26
0xdef6ec5038dc97f79b4679ddb90f59bd0a024080,107532.213388,99999.999999,7532.213389,7.53,1.4,2024-05-29
0xa4c216012c55a465c6038ed23c56936ba62ae0ce,107469.575354,99999.930156,7469.645198,7.46,1.4,2024-05-31
0xf327f1e587f72f78765750063afe1245e0c5c2ce,106791.242918,99999.999999,6791.242919,6.79,1.3,2024-07-01
0x34a8e5aa0cb565f03959e62dd5b8b0296ab98df6,106761.575064,99999.999999,6761.575065,6.76,1.3,2024-07-03
0xacb481d2fa6b533ca822e51c9ce377520bbcc943,106257.167102,99999.999999,6257.167103,6.25,1.2,2024-08-02
0xec6062bb272a3b38a06e6d073a5516b2ab1492c3,106219.278363,96934.792524,9284.485839,9.57,1.6,2024-03-08
0x44bd3c01b7da40cec7c6d05d2aff7d8a8ad753cb,106120.103847,100000.000000,6120.103847,6.12,1.2,2024-08-14
0x108168268bad3f1c40c2f34b99c6dc2a69c2af6a,106059.428719,100033.001000,6026.427719,6.02,1.2,2024-08-22
0xb4760130c4bc0baeb0a99718a58730c23bfd1bb5,105616.130435,100000.000000,5616.130435,5.61,1.1,2024-09-26
0x708c10f096d85e73502a7ead6daea4f4bd338979,105549.804673,100000.143074,5549.661599,5.54,1.0,2024-10-01
0xc513889af56392173d652b473d4cb84c9296f0ee,105136.928002,96864.706486,8272.221516,8.53,1.5,2024-04-09
0xaacd9bedebea65908e64aa1d2bae6bbba703a3af,100474.583702,95193.718212,5280.865490,5.54,1.0,2024-10-01
0x6487ecceda851bddc1d7933862a895926dafd380,97761.696490,87318.452133,10443.244357,11.95,1.9,2023-11-19
0xd1a18dc8c3527ce2b2d01b9e52cb2f7a752d8203,97130.041378,91641.495866,5488.545512,5.98,1.1,2024-08-25
0x9477ea9f0b523b482a7127115b351a3e6d84c454,96002.595651,89807.988123,6194.607528,6.89,1.3,2024-06-26
0xefd2ae8eda1c2c0bfb94ae773972a4d7b837bdaa,95870.734960,90000.004018,5870.730942,6.52,1.3,2024-07-17
0xd02b9f033ea907d5c583f736ba8f825f5c5af187,89105.837924,82200.815907,6905.022017,8.40,1.5,2024-04-14
0xf11b25125332f02f1eff02641bce77a94cb4a767,86442.892698,77393.430177,9049.462521,11.69,1.9,2023-12-04
0xf30e00792ccaa9b213814a561e2ee7f72f27979e,86231.209889,80017.553880,6213.656009,7.76,1.4,2024-05-17
0x9211f0ee86bdb808e03ca4b42433c90ce956b8db,84757.917417,80434.454209,4323.463208,5.37,1.0,2024-10-14
0xe36ae833dc10561564d5d53663d527c23ecf228b,82758.577864,77223.555650,5535.022214,7.16,1.3,2024-06-13
0x9d690803f4f309a5b70202526d5e1dda3e136ad2,80917.095466,74915.009999,6002.085467,8.01,1.5,2024-05-03
0xfe05bd8b1dec818346ed2309c79d6af2ab53f66f,79004.016302,70440.349333,8563.666969,12.15,1.9,2023-11-10
0x112ee79a1e7de6aea5e1323bf3ef2372dc645508,76910.170032,72202.996162,4707.173870,6.51,1.3,2024-07-17
0x95373b57f09f48d41380e8e300629805fea81e7e,75337.153215,69904.448131,5432.705084,7.77,1.4,2024-05-17
0x915bf2b7e0a4b155de83a1496a4184f7b6fd31d7,74439.615992,67570.481978,6869.134014,10.16,1.7,2024-02-15
0x14fd9243fb6645f9cb46a0e3e5984be9dfab6427,71127.633645,64274.520729,6853.112916,10.66,1.7,2024-01-20
0x27ff3a26da2d5a79b26541116b0744a85344ce01,70811.907647,65347.839486,5464.068161,8.36,1.5,2024-04-16
0xb2c5a80fe77b04afbf6f8e675529bca1e4d6e8fd,70003.695723,66017.698220,3985.997503,6.03,1.2,2024-08-21
0x1db8a81622e15bfc153fb9dedd00a6ec6d759c40,69039.710230,61971.721599,7067.988631,11.40,1.8,2023-12-17
0x48c50547ca10dbf72f404ee1f62e83e34b449b04,68726.722971,63875.362633,4851.360338,7.59,1.4,2024-05-26
0x1f26183a3f7ce3a7482ab17ae7bcca3efd65ad1e,65594.470937,59999.999999,5594.470938,9.32,1.6,2024-03-14
0xec0b1529eb60c79921146e4e971a7abab776d18b,64583.918368,61308.637276,3275.281092,5.34,1.0,2024-10-16
0xf6e170fe16aede55016a9bd32ad12f87ee2b7502,64220.813536,59999.999999,4220.813537,7.03,1.3,2024-06-19
0x2ee05fad3b206a232e985acbda949b215c67f00e,63270.991230,58444.606903,4826.384327,8.25,1.5,2024-04-21
0xf2e1a88af3d6cddd60b9c43cee53d655cba40b2c,63112.539554,55759.953943,7352.585611,13.18,2.2,2023-08-18
0x09a11f062b1c6f2820059f9e3f92fea0fb2a03dd,63078.517923,54984.082609,8094.435314,14.72,2.7,2023-02-22
0x7efb6e43abd7bc4027b154583f768be77c959432,60292.586529,55697.308243,4595.278286,8.25,1.5,2024-04-21
0x09b1062393c4d59ef858f285adda1b4be0772965,60190.747767,56475.310563,3715.437204,6.57,1.3,2024-07-14
0xe43840e77829b2df75959b7107d172060ab6bd87,56339.584120,50000.000000,6339.584120,12.67,2.0,2023-10-04
0x491e1fc05ea77cf45b0651500bf1f4e443130622,56051.665903,49999.999999,6051.665904,12.10,1.9,2023-11-13
0x4a30299062118acd0fcac830bac6731e04677a3f,56013.509902,52375.407493,3638.102409,6.94,1.3,2024-06-24
0x8416363a7144528aa330eedb62b85b8b02c00f6a,55975.096886,50330.761825,5644.335061,11.21,1.8,2023-12-27
0x26d1b783cb297f480db915070ab78e27d0655cee,55456.711659,49842.706188,5614.005471,11.26,1.8,2023-12-24
0xfffa7919dac9bf800188afd9b6b3b655ea857121,55411.347330,50797.004526,4614.342804,9.08,1.6,2024-03-21
0x4401cf9dffe1debea34b5b2404781395b282c5d5,55284.682374,52403.074704,2881.607670,5.49,1.0,2024-10-05
0x3592e6ecb531d742994762d1bc4c678e435926c7,55209.124272,50186.916399,5022.207873,10.00,1.7,2024-02-22
0x39d83637e882b7bf797a4cc6e8ff94307036ae61,54888.754092,49999.999999,4888.754093,9.77,1.6,2024-03-02
0xbfc806660ea98c2ddcdc175b1c03c03cfa038d6b,54785.084825,49999.999999,4785.084826,9.57,1.6,2024-03-08
0xa9a745ef0d07a5a9c8234f59e1443d024ad3c684,54662.193142,49999.999999,4662.193143,9.32,1.6,2024-03-14
0x443b8fa956b992225c4a5e9cec7feee123ef257c,54375.280063,50003.485030,4371.795033,8.74,1.5,2024-03-31
0x6d5c73cae963ef991667a4ddf7b4f644aa2cc1e2,54146.141119,51276.001995,2870.139124,5.59,1.1,2024-09-28
0xaebb94fe1600b03b0abe8d56b4747e5c43de1945,53977.687262,49964.654951,4013.032311,8.03,1.5,2024-05-02
0x05395a0478f345dd9f8d4dcfceeda152a6d6eb7d,53262.501976,49999.999999,3262.501977,6.52,1.3,2024-07-17
0x564759c17e07fe9c2699d79d28503912f30a04fe,51248.198489,48570.524691,2677.673798,5.51,1.0,2024-10-03
0xcd043f76e094a8ee1c88912171a3300f0c6e2c38,50061.736249,43937.761016,6123.975233,13.93,2.3,2023-06-21
0x007dec2910766928b47359cf99b31384913b97aa,49503.886194,45000.800000,4503.086194,10.00,1.7,2024-02-22
0x7ceb7632a8fde9f09ef4ac2432f89c3c0158cab0,47078.388720,42031.272390,5047.116330,12.00,1.9,2023-11-16
0xe57754bec39e3541c0753035f1f004ba3bce2fe9,46751.604200,42687.437257,4064.166943,9.52,1.6,2024-03-10
0x522d1479f01569797669617560feeca6c91ad28f,46545.628077,43562.146112,2983.481965,6.84,1.3,2024-06-28
0xacdd499fe223ced81fe38e66dec88ea1379bd424,46538.635445,41587.984937,4950.650508,11.90,1.9,2023-11-22
0x0a7c2d6cdb7d6de8195be3bdc03f5f959412e101,45568.450120,42480.068899,3088.381221,7.27,1.4,2024-06-09
0x82e6cca291eb42417995b6d46fc97ec199ccb059,44928.971018,41998.000000,2930.971018,6.97,1.3,2024-06-22
0x1f2bed6120ec9ff4104f4d9ba9a8fd8bee5103f3,44616.416504,40688.807731,3927.608773,9.65,1.6,2024-03-05
0x27ae7853aee90472dbfece89111fc52d29ec4821,44591.855030,40000.003517,4591.851513,11.47,1.8,2023-12-14
0x5201b4de3e6ff367a2c2885280c3ca5e9c14e0f9,43118.884094,40000.002798,3118.881296,7.79,1.4,2024-05-15
0x8c60d7a24d0c7ec2655bfa51d3284e6f565633f1,42231.166412,40070.892782,2160.273630,5.39,1.0,2024-10-13
0xfb70b4653b88388e256bc091c2d0b602dc251c15,42231.147178,37639.155032,4591.992146,12.20,1.9,2023-11-08
0x7ee7bdc2137c4425edd46c2fda770bba77503d6d,41722.680335,38000.000000,3722.680335,9.79,1.6,2024-03-01
0x8c14ce8037ea08f23310542097957757490e4ccb,40641.091790,37659.557951,2981.533839,7.91,1.4,2024-05-08
0x67414e3b5b90e1c72f5aeba7044ed01b6631effb,40137.922748,38059.083595,2078.839153,5.46,1.0,2024-10-08
0x607ca943767cc48caf8d160fd8a1bad294d54ba8,39668.717705,35939.999999,3728.717706,10.37,1.7,2024-02-07
0x47c70d02d7a573cc8709421de4aad3aad14b96b1,38562.129704,35000.000000,3562.129704,10.17,1.7,2024-02-15
0x581872d5d41e80dd41e6ac9b3764bc2c3c1a9272,38420.383349,34999.999999,3420.383350,9.77,1.6,2024-03-02
0x710ed04c974396c13bca3014387598c721f15b22,37515.403605,35028.363656,2487.039949,7.10,1.3,2024-06-16
0xf54e1c69527ea99100838e117ba9b5f3e17c712d,35795.388199,33623.840882,2171.547317,6.45,1.2,2024-07-21
0x194a047e5fcf9a8c3151da8365a4ab4202dea711,35724.929195,32388.145393,3336.783802,10.30,1.7,2024-02-10
0x16f2f0504635ac19c6e38cc177f7a932d0d6a292,34659.403297,32804.167656,1855.235641,5.65,1.1,2024-09-23
0x33720383c40e6115e74d0c3075a8b9d3820e2c4a,34633.250139,32767.000000,1866.250139,5.69,1.1,2024-09-20
0x8e3958c6c7dab41a9df81dae5e3d76a70acf70ff,34237.764840,32499.999999,1737.764841,5.34,1.0,2024-10-16
0x3ce18f31dbe67e9f28632b3cb1739dffb061c3d7,33973.589818,29999.999999,3973.589819,13.24,2.2,2023-08-14
0xc7da86dd7b5fef769e549bf71f7b6fb4b9af76b7,32803.493588,29999.999999,2803.493589,9.34,1.6,2024-03-14
0x322b5839cee4cab382195bd2b29005dff0c5a193,32769.574054,31029.126370,1740.447684,5.60,1.1,2024-09-27
0xe440599f8733343107647f6d0ddc5f3afdcf924d,32459.790671,30247.969999,2211.820672,7.31,1.4,2024-06-07
0x477f360be7da3ceb875d27ec3a5856051a1f9287,32050.998309,29960.638726,2090.359583,6.97,1.3,2024-06-22
0x025e56fad0b0a6b52cfbc851db20195a65faacea,31666.131083,29999.999999,1666.131084,5.55,1.0,2024-10-01
0x00d485db0be0ae844a9cd7286d148db6af2e7367,31348.939161,29708.327969,1640.611192,5.52,1.0,2024-10-03
0x8697cb1d4b8c981e9da72bb0cff452771ab10907,30657.136713,27970.549360,2686.587353,9.60,1.6,2024-03-07
0xbc39cdfba42748446393ffea728cdee91a004107,29729.945579,28000.000000,1729.945579,6.17,1.2,2024-08-08
0x2b3e4a220cf37b67403b22094f084ccf8d8b3255,29622.074538,28087.999999,1534.074539,5.46,1.0,2024-10-08
0x6873e103820ef88c7aa07a6b09cee0415a8f0c8b,28868.042255,26126.128490,2741.913765,10.49,1.7,2024-01-30
0x59c121885e447f930fed9434ff1f61bfeb6adaf1,28165.018874,26071.789038,2093.229836,8.02,1.5,2024-05-02
0x074367ff88b650827091db6c6ac334a080a1f591,27486.203118,24999.999999,2486.203119,9.94,1.6,2024-02-24
0x9c1b0d98352b90f604b153bcc5060066576cc861,27251.670894,25000.000000,2251.670894,9.00,1.6,2024-03-24
0x3e2f953e15e247173b8b7aafedc75e48eccebeea,26894.850985,25154.680520,1740.170465,6.91,1.3,2024-06-25
0x14ff36402b633ffb9c3df781d35f66d3b4f6265f,26712.460333,25000.000000,1712.460333,6.84,1.3,2024-06-28
0x1e33be09329609fc207550a7f093a6c3afaddd77,26677.782618,24951.687466,1726.095152,6.91,1.3,2024-06-25
0xedbd1d590cd52fb541dff0e7259277681fd86fe2,26653.358791,24928.827337,1724.531454,6.91,1.3,2024-06-25
