User Address,Current WETH Balance,2024-10-17 WETH Balance,Exact Yield Earned,Yield %,Years Inactive,Last Interaction
0x5ac572e94fddb94da2a89c135bd8dbf300ea9a39,8.741854,8.542925,0.198929,2.32,1.1,2024-08-30
0x82d7af30ff42e74af63f6136be38cbcb5faef70d,8.458902,8.192632,0.266269,3.25,1.6,2024-03-04
0x8dc93c415b1894f811afb9fe7dfe17b24d559215,8.324044,7.999999,0.324044,4.05,2.0,2023-10-01
0x1a896715d8d02459931a452ab83565ce7ddbebd6,8.315338,7.999999,0.315338,3.94,2.0,2023-10-19
0xa133a0ea48fc0b603753eaa71380a9b700acd793,8.289141,8.000000,0.289141,3.61,1.8,2023-12-19
0xbfe61967394e19194595bf9c785c73e5ca1e9f38,8.252862,7.999999,0.252862,3.16,1.6,2024-03-23
0xf9bd7f882d326a4e9fac6c90cee8cbba351ebb3e,7.870956,7.700000,0.170956,2.22,1.1,2024-09-19
0x64f31887587fb0c6ddd0d1ed58fbcc706aceb741,7.439743,7.077280,0.362463,5.12,2.6,2023-03-24
0x26ee0cf1c09b2b23a849e29f2f2cb6d09d0645a5,7.387703,7.229923,0.157780,2.18,1.1,2024-09-26
0xe9022f5872f7eef51a7c37b94c26fa92a08c4dc6,7.317774,7.150011,0.167762,2.34,1.1,2024-08-27
0x9b354f0873b3bda4f8dc06e38533bfa62ecf650e,7.212420,7.023279,0.189140,2.69,1.3,2024-06-28
0x6e30998c4744ef0bbb73d3e913c0052acb787109,6.586907,6.390988,0.195919,3.06,1.5,2024-04-12
0x4b12311f9e9475d48949c4b56b0ba50a3f1cf8b1,6.556614,6.389999,0.166614,2.60,1.3,2024-07-11
0x008bf5ef7e1b1170f0f7471b93f62b5cac55316f,6.302742,6.087151,0.215590,3.54,1.8,2024-01-02
0x7cf5ca8e3e26937b86aa4383c7cb1f2021ff3ee1,6.265603,6.121460,0.144142,2.35,1.1,2024-08-25
0xd23293e48a6ce14c33228f0f97c24d906a80dfbb,6.124002,5.999999,0.124002,2.06,1.0,2024-10-15
0x88f02f952e5493a7b78f15afd08b7d0d03ee647b,5.969304,5.800000,0.169304,2.91,1.4,2024-05-17
0x745735c7065d5c26a8eaf6a7228bb5d01d223c03,5.873382,5.731216,0.142165,2.48,1.2,2024-08-02
0x3decf3656af38059ed2e4ca54cc81c18a0225936,5.717134,5.500919,0.216215,3.93,2.0,2023-10-21
0x869016c6914428546e267404ece32f1a7a8c52fb,5.636279,5.499999,0.136279,2.47,1.2,2024-08-03
0x7477790ecc4ec360d41eb11a1382cd34e46f0d70,5.378147,5.224999,0.153147,2.93,1.4,2024-05-21
0xb9c7895c8e1af78cd994d15f5128e6bf5f85463f,5.338186,5.065385,0.272800,5.38,2.7,2023-02-05
0x719f852c6d977d94e1117a378be3d338347a25df,5.230618,5.108071,0.122547,2.39,1.2,2024-08-16
0x9fdff6017c1609f430cd62ff700b0fcb36d8a5e1,5.144838,5.000000,0.144838,2.89,1.4,2024-05-21
0x3ae88679475614cf968ef5a5d8f29a3d251b9b83,5.110051,5.000000,0.110051,2.20,1.1,2024-09-23
0xe036192f91eb033d1fe561fbe9eee91aa2a2b999,4.971823,4.861174,0.110649,2.27,1.1,2024-09-09
0xe51670aac71e23a74659873e173919e2bc8cf994,4.647291,4.529518,0.117772,2.60,1.3,2024-07-12
0xff80ea089e7f86be49723e023a1e4996b6d9b123,4.239408,4.101762,0.137646,3.35,1.7,2024-02-15
0xfa36e45a00ab7b0bc55a46a5b84d89fddb49641b,4.215307,4.000000,0.215307,5.38,2.7,2023-02-05
0xbaf513c0d8b11306e43cf90f69f3611b58e81983,4.093981,4.000000,0.093981,2.34,1.1,2024-08-26
0xbfc49db85bfe17f0cbb895d9020fff6ff4684012,4.054625,3.938727,0.115897,2.94,1.4,2024-05-12
0xf6b4d07f6fd5b5801b42d641a42ae4c134590ece,4.040462,3.900000,0.140462,3.60,1.8,2023-12-22
0x87d5cf30b1b7773fbf51f5cf754e51c87aa10a1f,3.845733,3.699999,0.145733,3.93,2.0,2023-10-19
0x421010de6cad687ffb85c7e1c6619901379b7c6c,3.844505,3.741602,0.102903,2.75,1.3,2024-06-17
0x93132b318ec633e127e2a3b04623a67872496668,3.685097,3.537957,0.147139,4.15,2.1,2023-09-14
0xf6c0aca8371303e405b4626329b884d4dc42c6b9,3.563456,3.402135,0.161320,4.74,2.4,2023-05-27
0x4105a4a3f2423fc79f4d671f198fa49fb4074ac8,3.507005,3.351898,0.155107,4.62,2.3,2023-06-13
0xf5f4f8f1ba7c0074d1799540260aef958545433d,3.472683,3.399999,0.072683,2.13,1.0,2024-10-04
0xd52469e0d0f227059c62d8d18ebc1fe5fc642dc0,3.276807,3.131239,0.145568,4.64,2.4,2023-06-11
0xe9271bd4d191645716eb32a2fd380aa0cc9a9029,3.134194,3.000000,0.134194,4.47,2.3,2023-07-15
0x77c0f5e0a3520611af61f800f85951ba2ed04663,3.074425,2.999999,0.074425,2.48,1.2,2024-08-02
0xc0ef695d6063fd53604aede5ebadcfdc59282702,3.071936,2.999999,0.071936,2.39,1.2,2024-08-17
0x220d867a4b85f5b2da0a816f4b2ec5a41e712ade,2.775568,2.713806,0.061762,2.27,1.1,2024-09-09
0x6df75a7dfaf6b3eef80c009b09c6e424928ceb02,2.753602,2.659493,0.094108,3.53,1.8,2024-01-03
0x62138035b5946938894d2fbd635fe02796d788f1,2.633206,2.500000,0.133206,5.32,2.7,2023-02-16
0x94e3e7524716b5d2c3b2d38d34b1c246ca8fdfb9,2.596699,2.499999,0.096699,3.86,2.0,2023-11-01
0xf21926270b9e038b557419a742064daa00cec386,2.573661,2.500812,0.072849,2.91,1.4,2024-05-18
0xcc7098dab8fd326ecaa361432e1e1e4641f6a67d,2.421905,2.358126,0.063779,2.70,1.3,2024-06-26
0xe8bc66f2bebffb224ae7b3bf05c59281b4877bcb,2.358166,2.300000,0.058166,2.52,1.2,2024-07-25
0x18cd94db976c3115365a0c02ffc7927dfdc461b2,2.341021,2.242587,0.098433,4.38,2.2,2023-08-01
0xad52e66a1ad6efe114cb9278dbf9338e37a517e5,2.271204,2.155658,0.115546,5.36,2.7,2023-02-10
0xf8024c96b804118e46fce2c11b318ed5f1d587c2,2.197539,2.108505,0.089034,4.22,2.1,2023-09-04
0xadc719956d08ddaa7141ba092db813f64ded56ae,2.195352,2.100000,0.095352,4.54,2.3,2023-07-01
0xc1f7db3dedcb556eb7eb0a44bf54bde90e123507,2.118322,2.036281,0.082041,4.02,2.0,2023-10-04
0x2a0777d571641e00bf79170ffc7ecba8fdea1791,2.110704,2.007543,0.103160,5.13,2.6,2023-03-21
0x55d6d25ae0b1280392f98cd30724defb1fea849b,2.107892,1.999999,0.107892,5.39,2.7,2023-02-03
0xb4f849a3d920845793de67cf0e0c71b06451a420,2.103749,2.041487,0.062261,3.04,1.5,2024-04-16
0x2a226fa3b71db911827df0ed7e7c742ae3c819df,2.103127,1.999999,0.103127,5.15,2.6,2023-03-18
0x14be74ee91d51a048d8c88d0a09c4d14646d81f5,2.102802,1.999999,0.102802,5.14,2.6,2023-03-20
0x6867e1eb70e8094688109ad36597d47d5f6eb34f,2.099719,2.000000,0.099719,4.98,2.5,2023-04-14
0xfb0018ad46c669b6a4c0e589c53db27daf7f7930,2.098983,2.004291,0.094692,4.72,2.4,2023-05-31
0x3e4b2a4e6225169bae82462982280682a6d26af3,2.097704,2.013870,0.083834,4.16,2.1,2023-09-13
0xd0040c2127cfcb87d1ce71f8360059178897a39a,2.060668,2.000000,0.060668,3.03,1.5,2024-04-20
0x039679d10f44d40ade03c488a382790bd2519163,2.060047,1.999999,0.060047,3.00,1.5,2024-04-27
0x059ec8f8f9e6824fc22b25b29c0795aaec77644d,2.059984,2.011018,0.048966,2.43,1.2,2024-08-10
0x41e31925e9b3973100efa17b353e58189f16d71a,2.053985,2.000000,0.053985,2.69,1.3,2024-06-27
0x199758ba73ecf90764c25ad03cb243b4858c2da2,2.045206,1.999999,0.045206,2.26,1.1,2024-09-12
0x5fc34d03cfdf145db5f3c5b5558e39a4164aaa30,2.044971,1.996855,0.048116,2.40,1.2,2024-08-14
0xf8950f0417ee8392a5d1415bbc7ba84e4e200fe7,2.018499,1.971779,0.046719,2.36,1.2,2024-08-22
0x019522cd983752fc1377b5a477dee5f3c93995de,2.008648,1.960000,0.048648,2.48,1.2,2024-08-02
0x726731b62f3318674cc322b2ea4e453c048e0c13,2.004200,1.928581,0.075618,3.92,2.0,2023-10-23
0x641079701725dccd5c3f1be446bdda40b05fc7a2,2.002294,1.950000,0.052294,2.68,1.3,2024-06-30
0xa77e650a1c1b3de938ecde5ec6688c68809eba99,1.786099,1.700000,0.086099,5.06,2.5,2023-04-02
0x9f80feb6d29f8e09f147ab5a75162e06ec9bfd0b,1.771103,1.724390,0.046712,2.70,1.3,2024-06-25
0xe1f9dd58ec590c4e2b4c25dd6db850ccf79584a4,1.678181,1.630594,0.047587,2.91,1.4,2024-05-17
0xb55b1e64e2a796ea4f8b75111975c33fcfcffa73,1.638969,1.600000,0.038969,2.43,1.2,2024-08-10
0x2be31397783776c0ea4be3e6e4460e89c9a8aee2,1.603723,1.568864,0.034858,2.22,1.1,2024-09-19
0xc629d77df97f90f8d12702d55ab1dfb6a11f3a3f,1.585911,1.520625,0.065285,4.29,2.2,2023-08-22
0xb044d6faf0c6ad045773fca890e69af5de22c1f5,1.579347,1.510000,0.069347,4.59,2.3,2023-06-21
0x549d9f70bc385f801fa2c1e79b8d4f8c8e5c6b2a,1.545137,1.500000,0.045137,3.00,1.5,2024-04-25
0x52079cb2859d58444b368a2506e9ec0b2ff7e777,1.519827,1.468285,0.051542,3.51,1.8,2024-01-10
0xaa037e6ac8a2b5745208c61ac77ffbb5c8827152,1.474601,1.400000,0.074601,5.32,2.7,2023-02-16
0x491ffe3686a96db80799971f31869692332463c1,1.390831,1.349999,0.040831,3.02,1.5,2024-04-22
0x02fe20655390cb4637aa6512e31af272e7a53672,1.365220,1.300000,0.065220,5.01,2.5,2023-04-09
0x28e07f674c8f6408b7ca360582f74d268584535a,1.274661,1.222069,0.052591,4.30,2.2,2023-08-20
0x08658ed3d0ce25f9f2736886669f7b1fc46c1168,1.247815,1.200000,0.047815,3.98,2.0,2023-10-12
0x80a354cb105ff850e7fb8d0513dad28973b75e53,1.228096,1.200000,0.028096,2.34,1.1,2024-08-28
0x7db33114bbf0b58af5106da83f8077f704f53a54,1.132905,1.099999,0.032905,2.99,1.5,2024-04-30
0xa769d2fb7b2ac73b73b313748abe9371c09927e3,1.106091,1.050000,0.056091,5.34,2.7,2023-02-13
0xb234dda28b1a80294398d9423451409066525577,1.078457,1.030000,0.048457,4.70,2.4,2023-06-02
0xc4f95f674b393a49410ace864833abe836848526,1.062095,1.020036,0.042059,4.12,2.1,2023-09-20
0xc99b170515f650234971463378b35d763c2e881e,1.057205,1.006508,0.050697,5.03,2.5,2023-04-06
0x3f566d83f7b90c31580ab15209719bfe944922b1,1.053718,1.000000,0.053718,5.37,2.7,2023-02-08
0x1bcaf211e839806b07f350b4ac2957db59ebc671,1.053280,0.999999,0.053280,5.32,2.7,2023-02-16
0x3cb686eddf16e617e6cacc1ad9b0784118c6ceaf,1.053272,1.000436,0.052836,5.28,2.6,2023-02-26
0x99642d7b16e0dcd6d69358c408a9346af5503e35,1.052946,1.000000,0.052946,5.29,2.6,2023-02-24
0xe9ed5ae12158bbb5ff236c78c6313a3b13b99781,1.051498,1.000000,0.051498,5.14,2.6,2023-03-19
0x42959b65aceccce4b9ee02185a1f3663ed85e994,1.051085,1.000000,0.051085,5.10,2.6,2023-03-26
0xd0026fd3905def326e986e3c010553ce1f36b3ce,1.045645,1.015059,0.030585,3.01,1.5,2024-04-24
0xe584fb571cf863ae428493f8ca1eab249f523406,1.043356,1.014074,0.029282,2.88,1.4,2024-05-24
0xc774d3c954128d22483edd3f6ee43b8ae551be99,1.043121,1.000000,0.043121,4.31,2.2,2023-08-18
0x7d70472bf9c447716e78ea1f14665d2218701677,1.042621,0.999999,0.042621,4.26,2.1,2023-08-29
0x76273dcc41356e5f0c49bb68e525175dc7e83417,1.040712,1.000000,0.040712,4.07,2.1,2023-09-28
0x7aaafbb84bc74120ad7ff19ce1906ccdc94a9cea,1.040628,0.999999,0.040628,4.06,2.1,2023-09-29
0x13a6b2457b3c3017b0be70c3028170d6a7f918b2,1.039950,1.000000,0.039950,3.99,2.0,2023-10-10
0x713ddc7badf461db9e3b4a36d17a144e1ec0c0a0,1.039489,1.003591,0.035898,3.57,1.8,2023-12-26
0x825c554f3bd57fe621ab69b8b42f86a3199ad2ac,1.039278,0.999999,0.039278,3.92,2.0,2023-10-21
0x212397baa4a847c4a6b6d33f0da2f3a5997ac8f8,1.037207,1.000000,0.037207,3.72,1.9,2023-11-30
0x7d7963bc806800327494471386af6dbc185662f5,1.033638,1.005206,0.028431,2.82,1.4,2024-06-07
0xf043b1e8cf86ca773bdf22c632f4350c74448d4a,1.032765,1.000000,0.032765,3.27,1.6,2024-02-28
0x4c625dd1d1d0e9133d50dd1ccad61144ac27faa8,1.032584,1.000000,0.032584,3.25,1.6,2024-03-03
0x00ccbd7ad91d39124e588ac41d4b48f84a693e57,1.031402,0.999999,0.031402,3.14,1.6,2024-03-27
0xc04f7c64f3ec4c0ec2ebdfcdc88add8c69af9377,1.029174,1.000000,0.029174,2.91,1.4,2024-05-17
0xfff8cb22789fafb30492cc4264a711c2ed1973ee,1.028981,0.999999,0.028981,2.89,1.4,2024-05-21
0x8820869e373541ef64c0edbe8da49852af4495dc,1.027606,0.999999,0.027606,2.76,1.3,2024-06-15
0x53e7726407760066a871fe9d71c850db4b0a9d36,1.022986,1.000000,0.022986,2.29,1.1,2024-09-05
0x3dc32a01506982646d021d5c93fd8fc6290ae8dc,1.022047,1.000000,0.022047,2.20,1.1,2024-09-22
0x811385ae3fff3aec879b445ca87945652a17fad8,1.021279,1.000000,0.021279,2.12,1.0,2024-10-06
0x1409aec83c671f4de95215bdcca5afdaf5086ef5,1.017886,0.980000,0.037886,3.86,2.0,2023-11-02
0x4dc07584b0dd840fd76a363533bbd0700480793c,1.017064,0.990000,0.027064,2.73,1.3,2024-06-20
0x7de54f5e65cbe35d473d694dca43b612530120fe,1.014308,0.990000,0.024308,2.45,1.2,2024-08-06
0x8ff4f7a3b1d9cd659cbaf13804ab47e25581aa4c,1.010229,0.973937,0.036291,3.72,1.9,2023-11-29
0x7545c3734b7978ecb28d29aa9b65537c2cdab9af,1.002523,0.978111,0.024412,2.49,1.2,2024-07-31
0x5181664019a1e43f18a12c2f19ec255c9db4f9ea,0.942642,0.900000,0.042642,4.73,2.4,2023-05-28
0xb30a515d009322fff92d07fbf7c762ac5736a925,0.935085,0.889999,0.045085,5.06,2.5,2023-04-02
0x3382dda354258090cf109e26dddd632f9be6eab2,0.908188,0.870000,0.038187,4.38,2.2,2023-08-01
0xe247318a0fbe2f4b79be692b7bcb7cc42b858b55,0.837714,0.800000,0.037714,4.71,2.4,2023-06-01
0x05264f2ec1729d27c5024cdd70732a4982a3d876,0.760612,0.743932,0.016680,2.24,1.1,2024-09-16
0x8df412da02c22cb4e7e5b8e163638651db4ed15e,0.734945,0.700000,0.034945,4.99,2.5,2023-04-13
0x5517eedcc36b172ef368d89acd25fa3370dab2e0,0.732818,0.709146,0.023671,3.33,1.7,2024-02-18
0x785b51797c9dd21a766315e11dbbbae14f31a4e3,0.726184,0.699999,0.026184,3.74,1.9,2023-11-26
0x8a63313de56c1cc20a9781d2898db05ed91d1564,0.722384,0.690000,0.032384,4.69,2.4,2023-06-04
0x98875d4450a384802a6e3a1eef20c0349edeecf3,0.718912,0.702223,0.016689,2.37,1.2,2024-08-21
0x6322c72dc7e51238ade8739e6903c322c10db1a2,0.716012,0.699999,0.016012,2.28,1.1,2024-09-07
0x28b4a4e76329cb391eaec02c92db0e808c81145c,0.710372,0.689999,0.020372,2.95,1.4,2024-05-09
0x9a91934adec26ba55d2971bbddeae55bc96f47bf,0.683643,0.655715,0.027928,4.25,2.1,2023-08-30
0x168d3a88310524fb0306500972507dc6f0f9b2dd,0.646946,0.620368,0.026577,4.28,2.1,2023-08-24
0xc1276993c25f10cdaada4e89fc10ee88e984d738,0.638260,0.619999,0.018260,2.94,1.4,2024-05-11
0x232d410479ba7f1f9e5ed44ad57db869cd380671,0.625836,0.600000,0.025836,4.30,2.2,2023-08-19
0x81299d2ce6329fec6bf729b50f473fe2265d4583,0.625794,0.600000,0.025794,4.29,2.2,2023-08-21
0xc94030f071784b26ac2355be8d3e34e724a220e1,0.593840,0.580225,0.013615,2.34,1.1,2024-08-27
0xafa7a9eb8940708f3a0a8b32e0a1b3498070cf91,0.593083,0.580000,0.013083,2.25,1.1,2024-09-13
0x7eb067086833bb2e915100414c86d0dcb11dbdd3,0.553685,0.529999,0.023685,4.46,2.3,2023-07-16
0xc6f292c074e40094f1ef0fe2c3cb8a2842e3fcab,0.539883,0.520604,0.019279,3.70,1.9,2023-12-03
0x435974ce46691cebc384bf49bca74d03a03e1743,0.538076,0.525387,0.012689,2.41,1.2,2024-08-13
0x7c9418f26d5e6cda980ce90fc7b9f68764d61499,0.534233,0.507786,0.026446,5.20,2.6,2023-03-11
0xca8d648f458b08f5e1b58f753a9335098dd6632a,0.533744,0.506511,0.027233,5.37,2.7,2023-02-07
0xf81a198ee4eec39eea1f27ed9ccd4f81df3364f9,0.531827,0.519218,0.012608,2.42,1.2,2024-08-11
0xf15d73ddcfb8acfff2c2c3967c545e32f31deed6,0.528002,0.500945,0.027056,5.40,2.7,2023-02-01
0xf98c99571b770f8b7bd183dd51c6005d8317f57a,0.526720,0.499999,0.026720,5.34,2.7,2023-02-13
0xcfc3c87b6a1b87995d8a3810d516e9fb056e80b8,0.526521,0.499999,0.026521,5.30,2.7,2023-02-22
0x499337f40b003177b61b8bd58b40ec7e5daa2626,0.525037,0.499999,0.025037,5.00,2.5,2023-04-11
0x14c60dfc8d32c10052f2a1c20447c6167605d185,0.521359,0.500000,0.021359,4.27,2.1,2023-08-27
0x07c3152a126d3cc3a02fe2adf8f764ab0a774b4d,0.520877,0.499999,0.020877,4.17,2.1,2023-09-11
0x8b6fe14daf1ea4a3b891bb7bf524c917343b1b6f,0.518498,0.500000,0.018498,3.69,1.9,2023-12-04
0x4cdf76cff9f48f35c205bbb0b0abcdd0bf1cfb39,0.516154,0.500000,0.016154,3.23,1.6,2024-03-08
0xb970502a47efefa96aadc7f0d4bed1b4fbce4d30,0.516141,0.499999,0.016141,3.22,1.6,2024-03-09
0xe7772bbced43b0860e789a81ee43efbe5dc4b69a,0.514807,0.499999,0.014807,2.96,1.4,2024-05-07
0xe72e4cd92775ba79d122a08e0ff1183390379cc8,0.513727,0.500379,0.013348,2.66,1.3,2024-07-02
0x655befcd60517f17c0e25c6f7456b1fba105a40e,0.513012,0.499999,0.013012,2.60,1.3,2024-07-12
0xdbd63cb8bddcb46337cc3ea0a8cc935ebd2cf5f9,0.512091,0.499999,0.012091,2.41,1.2,2024-08-13
0x8ca1f741b1b0d8e07878fbb23dcf9839ee9b4f92,0.512065,0.499999,0.012065,2.41,1.2,2024-08-14
0xc67b2201dceff65938c7e8afd6cabbbd7b2ae2fb,0.511080,0.491025,0.020054,4.08,2.1,2023-09-26
0xa597a19d286a2765f84d54971946df869c18051d,0.510435,0.498670,0.011765,2.35,1.1,2024-08-24
0x028ff8fdb5dc1e01f9c7aeeaa2fb35729ed8f3c8,0.496160,0.480933,0.015226,3.16,1.6,2024-03-22
0x64e80ff13e6a1bcdd5caf4ae946a6e9d6843ed42,0.481020,0.460000,0.021020,4.56,2.3,2023-06-26
